Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
103,Spectrogram 1,1,977.1884724,979.113957,1850.2,6571.3,S1123KIP1_048K_S02_S7106_20240109_070004.flac,377.1245,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240109_070004.flac,2203.125,6187.5,2906.25,1.8127,978.0954,977.277,979.0897,Song,7,S02
111,Spectrogram 1,1,1729.536614,1731.415136,2169.2,6762.7,S1123KIP1_048K_S02_S7106_20240110_070004.flac,529.4086,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240110_070004.flac,2437.5,5062.5,2906.25,1.645,1730.5588,1729.5666,1731.2115,Song,6,S02
112,Spectrogram 1,1,1734.974934,1737.276123,2360.6,6890.3,S1123KIP1_048K_S02_S7106_20240110_070004.flac,534.8469,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240110_070004.flac,2484.375,5156.25,2906.25,2.1279,1736.1525,1735.0087,1737.1366,Song,6,S02
125,Spectrogram 1,1,0.225422589,2.319974147,2743.4,6698.9,S1123KIP1_048K_S02_S7106_20240108_070004.flac,0.2254,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,3000,5296.875,3421.875,1.3075,1.6874,0.8548,2.1623,Song,7,S02
126,Spectrogram 1,1,46.56854989,48.20286366,2360.6,7336.9,S1123KIP1_048K_S02_S7106_20240108_070004.flac,46.5685,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2484.375,5296.875,3421.875,1.166,47.7907,47.0127,48.1787,Song,4,S02
3,Spectrogram 1,1,3853.816526,3854.079519,2615.8,5805.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,253.4325,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2765.625,5437.5,3750,0.2284,3853.9919,3853.8363,3854.0646,Syllable,,S02
4,Spectrogram 1,1,3854.098304,3854.33312,2679.6,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,253.7143,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2859.375,5718.75,3750,0.2102,3854.2667,3854.1151,3854.3253,Syllable,,S02
5,Spectrogram 1,1,3854.323727,3854.58672,2424.4,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,253.9397,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2484.375,5671.875,3750,0.2263,3854.4971,3854.3455,3854.5718,Syllable,,S02
6,Spectrogram 1,1,3854.577327,3854.830928,2360.6,6060.9,S1123KIP1_048K_S02_S7106_20240114_070004.flac,254.1933,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2437.5,5625,3750,0.2203,3854.7497,3854.5981,3854.8184,Syllable,,S02
7,Spectrogram 1,1,3854.830928,3855.075136,2615.8,6124.7,S1123KIP1_048K_S02_S7106_20240114_070004.flac,254.4469,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2765.625,5718.75,3750,0.2162,3855.0023,3854.8507,3855.0669,Syllable,,S02
