Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
91,Spectrogram 1,1,383.8760092,385.6512121,2563.9,6226.6,S1123KIP1_048K_S04_S7112_20240108_070004.flac,383.876,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,3890.625,4171.875,4031.25,0.1091,384.6777,384.6353,384.7444,Song,6,S04
118,Spectrogram 1,1,1734.148384,1736.252329,2258.7,6592.9,S1123KIP1_048K_S04_S7112_20240110_070004.flac,534.0204,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240110_070004.flac,2437.5,6281.25,3375,1.9077,1735.2047,1734.2408,1736.1484,Song,7,S04
119,Spectrogram 1,1,1730.851579,1732.626782,2502.9,6348.7,S1123KIP1_048K_S04_S7112_20240110_070004.flac,530.7236,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240110_070004.flac,2625,6093.75,2671.875,1.6005,1731.7289,1730.9286,1732.5291,Song,7,S04
134,Spectrogram 1,1,1463.725728,1465.89542,2624.9,6348.7,S1123KIP1_048K_S04_S7112_20240110_070004.flac,263.5977,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240110_070004.flac,2718.75,6093.75,3375,1.9703,1464.801,1463.8189,1465.7892,Song,7,S04
135,Spectrogram 1,1,1471.361918,1473.418899,2502.9,6837.1,S1123KIP1_048K_S04_S7112_20240110_070004.flac,271.2339,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240110_070004.flac,2671.875,6515.625,3375,1.8673,1472.3812,1471.4516,1473.3188,Song,7,S04
3,Spectrogram 1,1,420.7232308,420.9674386,2014.5,6104.5,S1123KIP1_048K_S04_S7112_20240108_070004.flac,420.7232,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2203.125,5578.125,3984.375,0.2223,420.9173,420.7415,420.9638,Syllable,,S04
4,Spectrogram 1,1,420.9674386,421.2116464,2014.5,6226.6,S1123KIP1_048K_S04_S7112_20240108_070004.flac,420.9674,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2250,5671.875,3984.375,0.2223,421.1598,420.9861,421.2083,Syllable,,S04
5,Spectrogram 1,1,421.221039,421.4464616,2014.5,6348.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,421.221,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2156.25,5906.25,3984.375,0.2102,421.3316,421.2326,421.4428,Syllable,,S04
6,Spectrogram 1,1,421.4558542,421.6906694,1953.4,6470.8,S1123KIP1_048K_S04_S7112_20240108_070004.flac,421.4559,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2156.25,5906.25,3984.375,0.2162,421.6004,421.4711,421.6873,Syllable,,S04
7,Spectrogram 1,1,421.6906694,421.9442698,1770.3,6348.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,421.6907,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2109.375,5671.875,3984.375,0.2284,421.9076,421.7136,421.9419,Syllable,,S04
8,Spectrogram 1,1,421.9254846,422.2448333,2014.5,6409.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,421.9255,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2296.875,5671.875,3984.375,0.2647,422.1581,421.9581,422.2228,Syllable,,S04
9,Spectrogram 1,1,431.6092633,431.8346859,2197.6,5860.3,S1123KIP1_048K_S04_S7112_20240108_070004.flac,431.6093,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2390.625,5578.125,3984.375,0.2102,431.7268,431.6217,431.8319,Syllable,,S04
10,Spectrogram 1,1,431.8252933,432.097679,2258.7,6043.5,S1123KIP1_048K_S04_S7112_20240108_070004.flac,431.8253,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2671.875,5390.625,3984.375,0.2344,432.0542,431.8541,432.0885,Syllable,,S04
11,Spectrogram 1,1,432.097679,432.3324942,2197.6,6287.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,432.0977,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2390.625,5812.5,3984.375,0.2162,432.2482,432.1128,432.329,Syllable,,S04
12,Spectrogram 1,1,432.3512794,432.576702,2075.5,6409.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,432.3513,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2296.875,5906.25,3984.375,0.2102,432.4624,432.3633,432.5735,Syllable,,S04
13,Spectrogram 1,1,432.5579167,432.839695,2014.5,6348.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,432.5579,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2296.875,5625,3984.375,0.2405,432.7877,432.5877,432.8281,Syllable,,S04
14,Spectrogram 1,1,432.8209098,433.0745102,2136.6,6287.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,432.8209,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,2437.5,5718.75,3984.375,0.2263,433.0383,432.8443,433.0706,Syllable,,S04
19,Spectrogram 1,1,3541.343143,3541.577958,2258.7,6043.5,S1123KIP1_048K_S04_S7112_20240113_070004.flac,541.0231,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2390.625,5765.625,3515.625,0.2102,3541.474,3541.3588,3541.569,Syllable,,S04
